Model Name,Epoch,Train Loss,Train Accuracy,Test Loss,Test Accuracy,Parameters
MLP (Baseline),1,0.7256,75.56%,0.4881,82.69%,Epochs=20
MLP (Baseline),2,0.4293,84.61%,0.4340,84.27%,Epochs=20
MLP (Baseline),3,0.3807,86.28%,0.4105,85.17%,Epochs=20
MLP (Baseline),4,0.3462,87.51%,0.3783,86.36%,Epochs=20
MLP (Baseline),5,0.3248,88.25%,0.3634,86.99%,Epochs=20
MLP (Baseline),6,0.3059,88.90%,0.3618,86.95%,Epochs=20
MLP (Baseline),7,0.2930,89.35%,0.3492,87.52%,Epochs=20
MLP (Baseline),8,0.2789,89.76%,0.3562,86.96%,Epochs=20
MLP (Baseline),9,0.2708,90.12%,0.3373,87.84%,Epochs=20
MLP (Baseline),10,0.2569,90.56%,0.3559,87.34%,Epochs=20
MLP (Baseline),11,0.2511,90.84%,0.3312,88.47%,Epochs=20
MLP (Baseline),12,0.2362,91.37%,0.3290,88.45%,Epochs=20
MLP (Baseline),13,0.2289,91.57%,0.3268,88.32%,Epochs=20
MLP (Baseline),14,0.2215,91.92%,0.3171,88.87%,Epochs=20
MLP (Baseline),15,0.2151,92.09%,0.3238,88.54%,Epochs=20
MLP (Baseline),16,0.2121,92.19%,0.3354,88.05%,Epochs=20
MLP (Baseline),17,0.2034,92.58%,0.3237,88.67%,Epochs=20
MLP (Baseline),18,0.1926,92.98%,0.3164,89.09%,Epochs=20
MLP (Baseline),19,0.1886,93.12%,0.3247,88.71%,Epochs=20
MLP (Baseline),20,0.1823,93.39%,0.3192,89.07%,Epochs=20
"MLPADC (bx=8, bw=8, ba=8, k=4)",1,0.9601,68.11%,0.7068,72.60%,"bx=8, bw=8, ba=8, k=4"
"MLPADC (bx=8, bw=8, ba=8, k=4)",2,0.6336,75.76%,0.6683,74.62%,"bx=8, bw=8, ba=8, k=4"
"MLPADC (bx=8, bw=8, ba=8, k=4)",3,0.7642,70.56%,0.9792,70.28%,"bx=8, bw=8, ba=8, k=4"
"MLPADC (bx=8, bw=8, ba=8, k=4)",4,1.1047,66.75%,1.4423,58.98%,"bx=8, bw=8, ba=8, k=4"
"MLPADC (bx=8, bw=8, ba=8, k=4)",5,1.8816,56.34%,2.4135,51.66%,"bx=8, bw=8, ba=8, k=4"
